StationName	EventNum	FibreHit	Total Energy Deposit [MeV]	True PosX [mm]	True PosY [mm]	True PosZ [mm]	Station Depth [mm]	Time [ns]
St1_H	314	258	0.0644811	4.23146	-0.824184	-137.915	12.2759	0.0704487
St1_H	315	256	0.0405004	5.13551	0.665765	-137.881	12.2759	0.0705494
St1_H	316	254	0.0852436	4.45963	1.07697	-137.939	12.2759	0.0701518
St1_H	318	259	0.098593	4.53748	-1.05789	-137.75	12.2759	0.0712479
St1_H	319	266	0.150822	5.6456	-2.84434	-137.902	12.2759	0.0705628
St1_H	320	261	0.0737351	4.27366	-2.19443	-137.75	12.2759	0.071419
St1_H	321	258	0.108949	4.96291	-0.237818	-137.947	12.2759	0.0703138
St1_H	322	259	0.0839108	4.34391	-1.24997	-137.75	12.2759	0.0715517
St1_H	323	263	0.0656486	5.29057	-1.92791	-137.72	12.2759	0.0715384
St1_H	324	261	0.0653874	4.2156	-2.38129	-137.712	12.2759	0.0714722
St1_H	325	254	0.126763	3.17781	-0.359265	-137.932	12.2759	0.0703799
St1_H	326	258	0.14123	5.05283	-0.12256	-137.948	12.2759	0.0703565
St1_H	329	253	0.0426047	3.99323	0.808505	-137.669	12.2759	0.0719481
